sc,LocId,component,net_present_kwh,npc_usd,component_lcoc_usd_per_kwh
0,stn_174_Eagle_Mountain,grid upgrades,46825966.63566333,128019.31353415975,0.002733938511728627
0,stn_174_Eagle_Mountain,infrastructure,46825966.63566333,821963.4026439878,0.01755358109399857
0,stn_181_South_Jordan,energy,14714522.93644312,509764.8826955189,0.034643656807452176
0,stn_181_South_Jordan,flatDmd,14714522.93644312,311341.76261507714,0.021158807795527246
0,stn_181_South_Jordan,grid upgrades,14714522.93644312,41790.6483874328,0.002840095364827008
0,stn_181_South_Jordan,infrastructure,14714522.93644312,523561.3270533142,0.03558126412352941
0,stn_181_South_Jordan,timevarDmd,14714522.93644312,154721.3556296212,0.010514874066791956
0,stn_185_Spanish_Fork,energy,98204340.53833012,3526518.4768425706,0.03591000619230405
0,stn_185_Spanish_Fork,flatDmd,98204340.53833012,2182097.5468768515,0.022219970470909657
0,stn_185_Spanish_Fork,grid upgrades,98204340.53833012,611579.741078666,0.006227624336420857
0,stn_185_Spanish_Fork,infrastructure,98204340.53833012,3669478.4464719947,0.03736574601852513
0,stn_185_Spanish_Fork,timevarDmd,98204340.53833012,1414986.226774285,0.014408591504384697
0,stn_18_Cedar_Fort,energy,91028.87041661762,2782.297424283922,0.030565000000000047
0,stn_18_Cedar_Fort,flatDmd,91028.87041661762,3066.967123338555,0.03369224630934968
0,stn_18_Cedar_Fort,grid upgrades,91028.87041661762,859.5834599020474,0.0094429762334514
0,stn_18_Cedar_Fort,infrastructure,91028.87041661762,5157.500759412284,0.0566578574007084
0,stn_190_Sandy,energy,15635137.776278079,569734.4813814793,0.03643936430454044
0,stn_190_Sandy,flatDmd,15635137.776278079,468829.4634881103,0.029985630455999373
0,stn_190_Sandy,infrastructure,15635137.776278079,788397.2069914707,0.0504247048073757
0,stn_190_Sandy,timevarDmd,15635137.776278079,236782.44496081345,0.015144250619912297
0,stn_194_Uintah,energy,50188908.31226027,1534023.9825642374,0.030565000000000047
0,stn_194_Uintah,flatDmd,50188908.31226027,1070390.6949377717,0.02132723605538744
0,stn_194_Uintah,grid upgrades,50188908.31226027,297521.12920936715,0.005928025518273486
0,stn_194_Uintah,infrastructure,50188908.31226027,1800000.0,0.0358644979643897
0,stn_195_Marriott_Slaterville,energy,65716206.61151303,2008615.8550809065,0.03056500000000016
0,stn_195_Marriott_Slaterville,flatDmd,65716206.61151303,594681.1133278556,0.009049230684347985
0,stn_195_Marriott_Slaterville,grid upgrades,65716206.61151303,166672.16451160243,0.0025362414099295042
0,stn_195_Marriott_Slaterville,infrastructure,65716206.61151303,1000032.9870696147,0.015217448459577027
0,stn_198_West_Jordan,energy,12998355.339081896,461151.67414846784,0.0354776940711824
0,stn_198_West_Jordan,flatDmd,12998355.339081896,561484.3518204803,0.043196568886855746
0,stn_198_West_Jordan,infrastructure,12998355.339081896,944208.3512652557,0.07264060157105594
0,stn_198_West_Jordan,timevarDmd,12998355.339081896,170288.41503907734,0.013100766258256884
0,stn_208_Cedar_Hills,energy,2798941.951101632,85549.66073542171,0.03056500000000012
0,stn_208_Cedar_Hills,flatDmd,2798941.951101632,32451.992553653363,0.011594378561827845
0,stn_208_Cedar_Hills,grid upgrades,2798941.951101632,242.25849298143095,0.0000865535967568319
0,stn_208_Cedar_Hills,infrastructure,2798941.951101632,54572.2107570937,0.019497442858939857
0,stn_209_Woods_Cross,energy,11846486.9469334,377522.713676277,0.03186790441481921
0,stn_209_Woods_Cross,flatDmd,11846486.9469334,179385.41075459137,0.015142498494123387
0,stn_209_Woods_Cross,grid upgrades,11846486.9469334,17697.172525535654,0.0014938751551249352
0,stn_209_Woods_Cross,infrastructure,11846486.9469334,301659.70321428875,0.02546406412007037
0,stn_209_Woods_Cross,timevarDmd,11846486.9469334,40760.24892102694,0.0034407034848063715
0,stn_213_Pleasant_Grove,energy,6298624.781766101,192517.46645467766,0.030564999999999492
0,stn_213_Pleasant_Grove,flatDmd,6298624.781766101,84312.3552447896,0.013385835506326013
0,stn_213_Pleasant_Grove,grid upgrades,6298624.781766101,281.747809053207,0.00004473163886009517
0,stn_213_Pleasant_Grove,infrastructure,6298624.781766101,141782.09896475618,0.022510008752259923
0,stn_217_Layton,energy,133281527.27111891,4073749.881041732,0.03056499999999987
0,stn_217_Layton,flatDmd,133281527.27111891,2405570.9662102396,0.018048795024061134
0,stn_217_Layton,grid upgrades,133281527.27111891,555756.6508677545,0.004169795036466263
0,stn_217_Layton,infrastructure,133281527.27111891,4045277.822066794,0.03035137655526682
0,stn_219_Salt_Lake_City,energy,830541711.3340946,29451486.05742329,0.0354605742920672
0,stn_219_Salt_Lake_City,flatDmd,830541711.3340946,21241771.725202896,0.025575803641556247
0,stn_219_Salt_Lake_City,grid upgrades,830541711.3340946,5939390.9595631845,0.007151225373163706
0,stn_219_Salt_Lake_City,infrastructure,830541711.3340946,35720778.67099551,0.04300901229104727
0,stn_219_Salt_Lake_City,timevarDmd,830541711.3340946,10873098.719401458,0.01309157453625786
0,stn_222_Roy,energy,9022761.023471907,275780.69068241026,0.03056499999999905
