sc,stationary_cost_case,dynamic_cost_case,batt_cost_kwh,lp_elec_frac,stationary_capex_per_kw,stationary_opex_per_kw_year,stationary_cost_readable,dynamic_capex_per_lane_mile,dynamic_opex_per_lane_mile_year,dynamic_cost_readable,electrification_percent,system_total_npc_usd,system_net_present_kwh,system_usd_per_kwh,location_npc_zone_usd,battery_npc_zone_usd,system_total_npc_for_mile_usd,system_net_present_miles_zone,system_usd_per_mile,n_ev_vehicles,energy_zone_kwh,grid_upgrade_wasatch_kw,grid_upgrade_wasatch_cost_usd,energy_stn_kwh_wasatch,energy_dwpt_kwh_wasatch,energy_total_kwh_wasatch,energy_frac_stn,energy_frac_dwpt
40,2,2,100,0.4,1800.0,25.0,stn $1800/kW capex + $25/kW/yr opex,1500000.0,-7600.0,dwpt $1500000/lane-mi capex + $-7600/lane-mi/yr opex,40,586541417.078875,5291690564.359795,0.11084197194546967,586541417.078875,81024551.36302881,667565968.4419037,2561750729.13028,0.26058974468157714,3514,664963.9194247186,82387.82114387232,24716346.3431617,629472.174664257,2008.4450245794471,631480.6196888364,0.9968194668815504,0.0031805331184496417
41,2,1,100,0.4,1800.0,25.0,stn $1800/kW capex + $25/kW/yr opex,2532000.0,72400.0,dwpt $2532000/lane-mi capex + $72400/lane-mi/yr opex,40,588048533.705357,5310040800.332552,0.11074275242264225,588048533.705357,81754625.2615801,669803158.9669371,2571211642.961643,0.2605009824066548,3514,668617.8436778835,82064.75281839076,24619425.845517233,633565.6770685158,0.0,633565.6770685158,1.0,0.0
42,2,0,100,0.4,1800.0,25.0,stn $1800/kW capex + $25/kW/yr opex,3920000.0,152400.0,dwpt $3920000/lane-mi capex + $152400/lane-mi/yr opex,40,587939400.4947617,5309717741.3107195,0.110728936854867,587939400.4947617,81779559.01526019,669718959.5100219,2572124026.4434137,0.26037584215410914,3514,668448.8023859696,82083.40402786847,24625021.208360545,633606.2687027637,0.0,633606.2687027637,1.0,0.0
43,1,0,100,0.4,2050.0,50.0,stn $2050/kW capex + $50/kW/yr opex,3920000.0,152400.0,dwpt $3920000/lane-mi capex + $152400/lane-mi/yr opex,40,599303281.3414874,5244194846.906792,0.11427936963382992,599303281.3414874,81562190.24098918,680865471.5824766,2563780363.9313216,0.2655709050436879,3514,646555.6452717071,79673.60839958572,23902082.519875735,628885.7468713374,0.0,628885.7468713374,1.0,0.0
44,1,1,100,0.4,2050.0,50.0,stn $2050/kW capex + $50/kW/yr opex,2532000.0,72400.0,dwpt $2532000/lane-mi capex + $72400/lane-mi/yr opex,40,599292729.3963982,5244260372.408521,0.114275929652433,599292729.3963982,81552367.87306201,680845097.2694602,2563623721.8758082,0.265579184441032,3514,646520.4807192817,79666.96983877331,23900090.951631892,628858.3976390344,0.0,628858.3976390344,1.0,0.0
45,1,1,100,1.0,2050.0,50.0,stn $2050/kW capex + $50/kW/yr opex,2532000.0,72400.0,dwpt $2532000/lane-mi capex + $72400/lane-mi/yr opex,100,2762248613.5810127,23696352181.300396,0.11656851621916718,2762248613.5810127,351721749.99899954,3113970363.5800123,11300950608.82803,0.2755494180416516,8785,2680828.460934301,383177.90829492855,114953372.48847607,2779312.8152759145,3756.4056057380385,2783069.2208816526,0.9986502651182538,0.0013497348817461468
46,1,2,100,1.0,2050.0,50.0,stn $2050/kW capex + $50/kW/yr opex,1500000.0,-7600.0,dwpt $1500000/lane-mi capex + $-7600/lane-mi/yr opex,100,2765218684.020657,22875274539.874043,0.12088242609725125,2765218684.020657,334445569.7010202,3099664253.7216773,11175075721.918861,0.277372997808147,8785,2562361.181014915,774363.4330115488,186463462.61597195,2570545.0685889735,142785.13705820136,2713330.2056471747,0.9473764244539693,0.05262357554603079
47,2,2,100,1.0,1800.0,25.0,stn $1800/kW capex + $25/kW/yr opex,1500000.0,-7600.0,dwpt $1500000/lane-mi capex + $-7600/lane-mi/yr opex,100,2707369788.8611755,23623551480.074818,0.11460468977937949,2707369788.8611755,348532936.5861572,3055902725.447333,11373504978.479351,0.268686102589275,8785,2728811.8749240986,564421.8774670484,147291722.0632752,2705623.528911202,69005.01942603088,2774628.5483372333,0.9751299973225662,0.024870002677433667
48,2,1,100,1.0,1800.0,25.0,stn $1800/kW capex + $25/kW/yr opex,2532000.0,72400.0,dwpt $2532000/lane-mi capex + $72400/lane-mi/yr opex,100,2756901896.402397,24379643039.70363,0.11308212724495705,2756901896.402397,364057227.2605771,3120959123.6629744,11600925437.974173,0.2690267375951669,8785,2811209.897946576,400691.94734539243,120207584.20361769,2844411.8397610076,2154.3869631775488,2846566.226724185,0.9992431628876393,0.0007568371123607432
49,2,0,100,1.0,1800.0,25.0,stn $1800/kW capex + $25/kW/yr opex,3920000.0,152400.0,dwpt $3920000/lane-mi capex + $152400/lane-mi/yr opex,100,2820877263.3925138,24720599491.516033,0.11411039058177462,2820877263.3925138,373536943.021194,3194414206.4137077,11839456940.262335,0.2698108724523075,8785,2838984.60258211,405908.47912946646,121772543.7388399,2882344.309914478,0.0,2882344.309914478,1.0,0.0
50,1,0,100,1.0,2050.0,50.0,stn $2050/kW capex + $50/kW/yr opex,3920000.0,152400.0,dwpt $3920000/lane-mi capex + $152400/lane-mi/yr opex,100,2829824282.49239,24166949171.2468,0.11709480838645701,2829824282.49239,363013319.4388073,3192837601.9311976,11561079993.368946,0.27617122308318115,8785,2725231.19239249,391432.8831688746,117429864.95066243,2835489.020892853,0.0,2835489.020892853,1.0,0.0
51,0,0,100,1.0,2250.0,75.0,stn $2250/kW capex + $75/kW/yr opex,3920000.0,152400.0,dwpt $3920000/lane-mi capex + $152400/lane-mi/yr opex,100,2834980637.219089,23625709618.916073,0.11999557613072684,2834980637.219089,353293856.72690827,3188274493.945997,11358286577.898111,0.2807003038776997,8785,2624884.0496532023,378871.31110009784,113661393.3300294,2789549.256327783,0.0,2789549.256327783,1.0,0.0
52,0,0,100,0.4,2250.0,75.0,stn $2250/kW capex + $75/kW/yr opex,3920000.0,152400.0,dwpt $3920000/lane-mi capex + $152400/lane-mi/yr opex,40,617140770.4943161,5239375224.189121,0.1177890004222457,617140770.4943161,81646059.30218655,698786829.7965026,2561871517.386036,0.2727641979912788,3514,639439.6125071463,79376.56609190427,23812969.827571284,629886.9100983585,0.0,629886.9100983585,1.0,0.0
53,0,2,100,1.0,2250.0,75.0,stn $2250/kW capex + $75/kW/yr opex,1500000.0,-7600.0,dwpt $1500000/lane-mi capex + $-7600/lane-mi/yr opex,100,2837016539.6965413,22374373426.325806,0.126797586043616,2837016539.6965413,324179499.9408679,3161196039.637409,11034267113.943947,0.2864889898888366,8785,2453407.102868744,1112214.3417610885,221854012.0898338,2468345.1732731326,205350.79095717394,2673695.9642303064,0.9231959079474882,0.07680409205251187
